FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
924850|Animas Valley Mall|Locale|NM|35|San Juan|045|364245N|1081212W|36.712503|-108.2034073|||||1610|5282|Farmington South|03/01/1994|
924851|Fidelity Square Shopping Center|Locale|NM|35|Bernalillo|001|350703N|1063259W|35.1175459|-106.549746|||||1650|5413|Albuquerque East|03/01/1994|
924852|Griego|Locale|NM|35|San Miguel|047|354337N|1044353W|35.7269854|-104.731381|||||1935|6348|Llonidas Lake|03/01/1994|
924855|Cottonwood Wash|Stream|NM|35|San Juan|045|364554N|1090003W|36.7649994|-109.0009304|364623N|1090126W|36.7730556|-109.0238889|1654|5426|Beclabito|03/01/1994|
924856|Rocky Canyon|Valley|NM|35|San Juan|045|364835N|1085645W|36.809721|-108.9459297|364825N|1090114W|36.8069435|-109.0206541|1511|4957|Rocky Point|03/01/1994|
924857|Last Canyon|Valley|NM|35|San Juan|045|364724N|1085630W|36.7899989|-108.9417624|364648N|1090042W|36.7799993|-109.0117644|1525|5003|Rocky Point|03/01/1994|
924858|Heart of the Sands|Locale|NM|35|Otero|035|324901N|1061604W|32.8170294|-106.2677744|||||1218|3996|Heart of the Sands|03/01/1994|
924859|First Gray Wash|Stream|NM|35|San Juan|045|364909N|1085630W|36.8191653|-108.9417631|364919N|1090128W|36.8219434|-109.0245435|1496|4908|Rocky Point|03/01/1994|
924860|Baties Shopping Center|Locale|NM|35|Cibola|006|350912N|1075047W|35.153371|-107.8464465|||||1959|6427|Grants|03/01/1994|
924861|Ratscat|Locale|NM|35|Otero|035|325257N|1062051W|32.8825837|-106.3474988|||||1191|3907|Heart of the Sands NE|03/01/1994|
924862|Alkali Flat|Flat|NM|35|Dona Ana|013|325719N|1062241W|32.9553606|-106.378056|||||1194|3917|Heart of the Sands NW|03/01/1994|
924863|Round Mountain|Summit|NM|35|Luna|029|323513N|1074949W|32.5870264|-107.83031|||||1843|6047|Dwyer SE|03/01/1994|
924864|Montezuma Canyon|Valley|NM|35|Luna|029|323320N|1074528W|32.5556389|-107.757808|323346N|1074346W|32.562861|-107.7294742|1750|5741|Dwyer SE|03/01/1994|
924865|Chapline Tank|Reservoir|NM|35|Dona Ana|013|324156N|1064755W|32.6989714|-106.7986205|||||1316|4318|Selden Canyon NE|03/01/1994|
924866|CCC Tank|Reservoir|NM|35|Dona Ana|013|324113N|1064542W|32.6870276|-106.7616747|||||1326|4350|Selden Canyon NE|03/01/1994|
924867|Coyote Tank|Reservoir|NM|35|Dona Ana|013|323807N|1064520W|32.6353626|-106.7555628|||||1310|4298|Selden Canyon NE|03/01/1994|
924868|Campbell Tank|Reservoir|NM|35|Dona Ana|013|324312N|1064845W|32.7200818|-106.8125099|||||1325|4347|Selden Canyon NE|03/01/1994|
924869|Cassady Tank|Reservoir|NM|35|Dona Ana|013|324319N|1065030W|32.7220258|-106.8416775|||||1319|4327|Selden Canyon NE|03/01/1994|
924870|Beacon Tank|Reservoir|NM|35|Dona Ana|013|323849N|1064531W|32.6469695|-106.7584827|||||1314|4311|Selden Canyon NE|03/01/1994|06/24/2011
924871|Antelope Tank|Reservoir|NM|35|Dona Ana|013|324246N|1064657W|32.7128601|-106.7825089|||||1324|4344|Selden Canyon NE|03/01/1994|
924872|Yucca Tank|Reservoir|NM|35|Dona Ana|013|324222N|1064531W|32.7061938|-106.7586193|||||1343|4406|Selden Canyon NE|03/01/1994|
924873|Tobosa Tank|Reservoir|NM|35|Dona Ana|013|324001N|1064603W|32.6670281|-106.7675079|||||1313|4308|Selden Canyon NE|03/01/1994|
924874|Rawhide Tank|Reservoir|NM|35|Dona Ana|013|323954N|1064618W|32.6650837|-106.7716747|||||1314|4311|Selden Canyon NE|03/01/1994|
924875|Price Tank|Reservoir|NM|35|Dona Ana|013|324324N|1064614W|32.7234154|-106.7705643|||||1341|4400|Selden Canyon NE|03/01/1994|
924876|Powers Tank|Reservoir|NM|35|Dona Ana|013|324315N|1064740W|32.7209152|-106.7944539|||||1334|4377|Selden Canyon NE|03/01/1994|
924877|Pierce Tank|Reservoir|NM|35|Dona Ana|013|324312N|1065138W|32.7201331|-106.8606247|||||1319|4327|Selden Canyon NE|03/01/1994|06/24/2011
924878|Valentine Tank|Reservoir|NM|35|Dona Ana|013|324341N|1064636W|32.7281375|-106.7766756|||||1345|4413|Selden Canyon NE|03/01/1994|
924879|Estell Tank|Reservoir|NM|35|Dona Ana|013|324207N|1064957W|32.7020265|-106.8325103|||||1316|4318|Selden Canyon NE|03/01/1994|
924880|North Tanks|Reservoir|NM|35|Dona Ana|013|324319N|1065030W|32.7220258|-106.8416775|||||1319|4327|Selden Canyon NE|03/01/1994|
924881|Engholm Tank|Reservoir|NM|35|Dona Ana|013|324200N|1064816W|32.7000824|-106.8044539|||||1317|4321|Selden Canyon NE|03/01/1994|
924882|Eugene Tank|Reservoir|NM|35|Dona Ana|013|324207N|1064957W|32.7020265|-106.8325103|||||1316|4318|Selden Canyon NE|03/01/1994|
924883|Keller Tank|Reservoir|NM|35|Dona Ana|013|323940N|1064531W|32.6611951|-106.7586188|||||1314|4311|Selden Canyon NE|03/01/1994|
